# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-10-03 14:57:03 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02134500 LUMBER RIVER AT BOARDMAN, NC
# -----------------------------------------------------------------------------------
#
# Data provided for site 02134500
#            TS   parameter     Description
#         89916       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	89916_00060	89916_00060_cd
5s	15s	20d	6s	14n	10s
USGS	02134500	2018-09-25 00:00	EDT	12700	P
USGS	02134500	2018-09-25 00:15	EDT	12600	P
USGS	02134500	2018-09-25 00:30	EDT	12600	P
USGS	02134500	2018-09-25 00:45	EDT	12600	P
USGS	02134500	2018-09-25 01:00	EDT	12600	P
USGS	02134500	2018-09-25 01:15	EDT	12500	P
USGS	02134500	2018-09-25 01:30	EDT	12400	P
USGS	02134500	2018-09-25 01:45	EDT	12400	P
USGS	02134500	2018-09-25 02:00	EDT	12400	P
USGS	02134500	2018-09-25 02:15	EDT	12400	P
USGS	02134500	2018-09-25 02:30	EDT	12400	P
USGS	02134500	2018-09-25 02:45	EDT	12400	P
USGS	02134500	2018-09-25 03:00	EDT	12300	P
USGS	02134500	2018-09-25 03:15	EDT	12300	P
USGS	02134500	2018-09-25 03:30	EDT	12200	P
USGS	02134500	2018-09-25 03:45	EDT	12200	P
USGS	02134500	2018-09-25 04:00	EDT	12200	P
USGS	02134500	2018-09-25 04:15	EDT	12200	P
USGS	02134500	2018-09-25 04:30	EDT	12100	P
USGS	02134500	2018-09-25 04:45	EDT	12100	P
USGS	02134500	2018-09-25 05:00	EDT	12100	P
USGS	02134500	2018-09-25 05:15	EDT	12000	P
USGS	02134500	2018-09-25 05:30	EDT	12000	P
USGS	02134500	2018-09-25 05:45	EDT	11900	P
USGS	02134500	2018-09-25 06:00	EDT	11900	P
USGS	02134500	2018-09-25 06:15	EDT	11900	P
USGS	02134500	2018-09-25 06:30	EDT	11900	P
USGS	02134500	2018-09-25 06:45	EDT	11900	P
USGS	02134500	2018-09-25 07:00	EDT	11900	P
USGS	02134500	2018-09-25 07:15	EDT	11800	P
USGS	02134500	2018-09-25 07:30	EDT	11800	P
USGS	02134500	2018-09-25 07:45	EDT	11700	P
USGS	02134500	2018-09-25 08:00	EDT	11700	P
USGS	02134500	2018-09-25 08:15	EDT	11700	P
